t,XxV,XyV,XzV,qx,qy,qz,qw,ZxW,ZyW,ZzW,ExB,EyB,EzB,eta,E1I,E2I
0.31851,-0.508277,1.87936,1.55798,0.00862299,-0.0124703,0.0413835,0.999028,-0.140264,1.74525,0,0.227415,-0.289077,-1.55798,-0.730932972959401,511.885,437.302
0.33014,-0.516828,1.87546,1.55976,0.0102229,-0.00457101,0.0397118,0.999148,-0.140701,1.74555,0,0.227674,-0.289406,-1.55976,-0.731099218726654,511.885,437.302
0.341,-0.522227,1.87321,1.56046,0.00444841,-0.00702101,0.0350039,0.999353,-0.140733,1.74553,0,0.227776,-0.289535,-1.56046,-0.731163628848981,511.885,437.302
0.35316,-0.522227,1.87321,1.56046,0.00444841,-0.00702101,0.0350039,0.999353,-0.140733,1.74553,0,0.227776,-0.289535,-1.56046,-0.731163628848981,511.885,437.302
0.36349,-0.522227,1.87321,1.56046,0.00444841,-0.00702101,0.0350039,0.999353,-0.140733,1.74553,0,0.227776,-0.289535,-1.56046,-0.731163628848981,511.885,437.302
0.37255,-0.525822,1.87102,1.56109,0.00648879,-0.00784121,0.0349598,0.999337,-0.140717,1.74554,0,0.227868,-0.289652,-1.56109,-0.731222793378303,511.885,437.302
0.38233,-0.525822,1.87102,1.56109,0.00648879,-0.00784121,0.0349598,0.999337,-0.140717,1.74554,0,0.227868,-0.289652,-1.56109,-0.731222793378303,511.885,437.302
0.39265,-0.525822,1.87102,1.56109,0.00648879,-0.00784121,0.0349598,0.999337,-0.140717,1.74554,0,0.227868,-0.289652,-1.56109,-0.731222793378303,511.885,437.302
0.40489,-0.531162,1.86515,1.56209,0.0108103,-0.00169471,0.0385969,0.999195,-0.140696,1.74551,0,0.228014,-0.289838,-1.56209,-0.731317162104485,511.885,437.302
0.41481,-0.531162,1.86515,1.56209,0.0108103,-0.00169471,0.0385969,0.999195,-0.140696,1.74551,0,0.228014,-0.289838,-1.56209,-0.731317162104485,511.885,437.302
0.42741,-0.531162,1.86515,1.56209,0.0108103,-0.00169471,0.0385969,0.999195,-0.140696,1.74551,0,0.228014,-0.289838,-1.56209,-0.731317162104485,511.885,437.302
0.44123,-0.537054,1.86007,1.56258,0.0101254,-0.000910377,0.0396257,0.999163,-0.140769,1.74549,0,0.228086,-0.28993,-1.56258,-0.731364132551871,511.885,437.302
0.45146,-0.537054,1.86007,1.56258,0.0101254,-0.000910377,0.0396257,0.999163,-0.140769,1.74549,0,0.228086,-0.28993,-1.56258,-0.731364132551871,511.885,437.302
0.46347,-0.538523,1.85796,1.56222,0.0109736,-0.00544592,0.0371153,0.999236,-0.140758,1.74551,0,0.228033,-0.289862,-1.56222,-0.731329083145753,511.885,437.302
